Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2000","2000","km","10.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2001","2001","km","10.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2002","2002","km","10","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2003","2003","km","10.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2004","2004","km","9.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2005","2005","km","9.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2006","2006","km","9.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2007","2007","km","9.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2008","2008","km","9.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2009","2009","km","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2010","2010","km","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2011","2011","km","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2012","2012","km","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2013","2013","km","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2014","2014","km","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2015","2015","km","9.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2016","2016","km","9.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2017","2017","km","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2018","2018","km","9.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2019","2019","km","9.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2020","2020","km","9.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6124","Valor","21016","Densidad de líneas de ferrocarril (por cada 100 km cuadrados de la superficie terrestre)","2021","2021","km","9.3","X","Cifra de fuente externa",""
