Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20002002","2000-2002","g/persona/día","97.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20012003","2001-2003","g/persona/día","98.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20022004","2002-2004","g/persona/día","97.9","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20032005","2003-2005","g/persona/día","97.2","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20042006","2004-2006","g/persona/día","97.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20052007","2005-2007","g/persona/día","99.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20062008","2006-2008","g/persona/día","101","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20072009","2007-2009","g/persona/día","102.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20082010","2008-2010","g/persona/día","104.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20092011","2009-2011","g/persona/día","107.5","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20102012","2010-2012","g/persona/día","109.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20112013","2011-2013","g/persona/día","109.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20122014","2012-2014","g/persona/día","108.7","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20132015","2013-2015","g/persona/día","109.4","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20142016","2014-2016","g/persona/día","110.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20152017","2015-2017","g/persona/día","110.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20162018","2016-2018","g/persona/día","110.3","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20172019","2017-2019","g/persona/día","110.6","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20182020","2018-2020","g/persona/día","111.1","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20192021","2019-2021","g/persona/día","110.8","E","Valor estimado",""
"FS","Datos de Seguridad Alimentaria","79","Alemania","6123","Valor","21013","Suministro medio de proteínas (g/persona/día) (promedio de 3 años)","20202022","2020-2022","g/persona/día","110","E","Valor estimado",""
