Código del ámbito,Ámbito,Código del área,Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2000","2000","%","11.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2001","2001","%","11","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2002","2002","%","10.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2003","2003","%","10.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2004","2004","%","10.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2005","2005","%","10.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2006","2006","%","11.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2007","2007","%","11.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2008","2008","%","11.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2009","2009","%","11.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2010","2010","%","11.6","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2011","2011","%","11.7","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2012","2012","%","11.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2013","2013","%","12","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2014","2014","%","12.2","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2015","2015","%","12.3","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2016","2016","%","12.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2017","2017","%","12.8","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2018","2018","%","13.1","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2019","2019","%","13.5","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2020","2020","%","13.9","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2021","2021","%","14.4","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2022","2022","%","15","X","Cifra de fuente externa",""
"FS","Datos de Seguridad Alimentaria","203","España","6121","Valor","21043","Prevalencia de la anemia entre las mujeres en edad fértil (15-49 años)","2023","2023","%","15.6","X","Cifra de fuente externa",""
